season,teamId,abbr,cityState,fullName,nick,conferenceAbbr,divisionAbbr
2008,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2012,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2008,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2012,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS
2008,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2012,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCN
2008,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
2012,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACN
2012,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACN
2008,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
2012,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2008,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2012,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2008,4600,SEA,Seattle,Seattle Seahawks,Seahawks,NFC,NCW
2012,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCN
2008,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCS
2008,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2012,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCN
2009,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCS
2012,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACS
2009,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACN
2012,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2009,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2009,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS
2012,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2009,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCN
2012,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2009,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACN
2012,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2009,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACN
2012,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
2009,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2012,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2009,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2012,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2012,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCN
2009,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCN
2012,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2009,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCN
2012,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCS
2009,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACS
2012,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
2012,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2012,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2009,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2012,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2009,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2012,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
2009,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2012,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
2012,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2012,4600,SEA,Seattle,Seattle Seahawks,Seahawks,NFC,NCW
2012,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCS
2012,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2013,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCS
2013,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACN
2013,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2013,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS
2013,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCN
2013,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACN
2013,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACN
2013,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2013,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2013,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCN
2013,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCN
2013,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACS
2013,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2013,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2013,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2013,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2013,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
2013,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2013,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2013,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCN
2013,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2013,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCS
2013,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
2013,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2013,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2013,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2013,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
2013,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
2013,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2013,4600,SEA,Seattle,Seattle Seahawks,Seahawks,NFC,NCW
2013,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCS
2013,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2014,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCS
2014,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACN
2014,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2014,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS
2014,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCN
2014,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACN
2014,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACN
2014,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2014,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2014,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCN
2014,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCN
2014,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACS
